figure,Figure 5-A-1
figureTitle,Project Mobilization and Scaffolding Production ................................................................ 5-A-1
division,01
divisionName,General Requirements
sourcePage,5-A-1
sourcePdfPage,11

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"01 51 13.80 0300\nTrailer Mounted Floodlight Set, 4 Light, Telescoping",Each,.5
01 51 13.80 0400\nJobsite Portolet,Each,.5
01 54 23.70\nScaffolding\n(0010) Erect and dismantle tubular scaffold (including planks and leveling),square foot of wall\nsurface,0.040
"Minimum suggested crew size:\nScaffolding erection—three or four laborers, increase crew size for multiple tiers.",,
Note: The first tier of scaffolding requires more time due to leveling and alignment procedures.,,
01 54 36.00 0010\nCESE Mobilization or Demobilization,Each,3.0
01 54 39.00 0010\nTool Kit Inventory,Kit,2.0
01 58 13.00 0010\nProject Sign,Each,16.0
