figure,Figure 5-G-6
figureTitle,Shingles and Shakes Production .......................................................................................... 5-G-5
division,07
divisionName,Thermal and Moisture Protection
sourcePage,5-G-6
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"07 31 13.10\nAsphalt Roof Shingles\n(0010) Standard strip shingles, inorganic, class A, 210–235 pounds per square\n(0015) Pitch over 7 in 12\n(0020) Pneumatic nailed\n(0025) Pitch over 7 in 12, pneumatic nailed\n(0030) Standard strip shingles, organic, class C, 235–240 pounds per square\n(0035) Pitch over 7 in 12\n(0040) Pneumatic nailed\n(0045) Pitch over 7 in 12, pneumatic nailed\n(0050) Standard, laminated multilayered, class A, 240–260 pounds per square\n(0055) Pitch over 7 in 12\n(0060) Pneumatic nailed\n(0065) Pitch over 7 in 12, pneumatic nailed\n(0070) Standard, laminated multilayered class C, 260–300 pounds per square\n(0075) Pitch over 7 in 12\n(0080) Pneumatic nailed\n(0085) Pitch over 7 in 12, pneumatic nailed\n(0090) Premium, laminated multilayered class A, 260–300 pounds per square\n(0095) Pitch over 7 in 12\n(0100) Pneumatic nailed\n(0105) Pitch over 7 in 12, pneumatic nailed\n(0110) Premium, laminated multilayered, organic class C, 300-385 pounds per\nsquare\n(0115) Pitch over 7 in 12\n(0120) Pneumatic nailed\n(0125) Pitch over 7 in 12, pneumatic nailed\n(0130) 15 pound felt underlayment\n(0140) 30 pound felt underlayment\n(0150) Self-adhering polyethylene and rubberized asphalt underlayment\n(0160) Ridge shingles\n(0170) Ridge shingles, pneumatic nailed",Square\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nSquare\nLF\nLF,1.9350\n2.9025\n1.5200\n2.2800\n2.1280\n3.1920\n1.7020\n2.5530\n2.3650\n3.5475\n1.8910\n2.8365\n2.6600\n3.9900\n2.1280\n3.1920\n3.0400\n4.5600\n2.4350\n3.6525\n3.5740\n5.3205\n2.8370\n4.2555\n0.1660\n0.1840\n0.4840\n0.0320\n0.0140
"07 31 16.20\nSteel Shingles\n(0010) Galvanized, 26 or 24 gauge",Square,4.8360
"07 31 26.10\nSlate Roof Shingles\n(0010) Various types, 3/16 to 1/4 inch thick",Square,6.0790
"07 31 29.13\nWood Shingles\n(0010) 16 inches, number 1 red cedar shingles, 5-inch exposure on roof\n(0020) Pneumatic nailed\n(0030) 16 inches, number 1 red cedar shingles, 7 1/2-inch exposure on walls\n(0040) Pneumatic nailed\n(0050) 15 pound organic felt underlayment on roof, one layer, add\n(0060) two layers, add",Square\nSquare\nSquare\nSquare\nSquare\nSquare,4.2560\n3.2740\n5.1900\n3.9850\n0.1660\n0.3320
"07 31 29.16\nWood Shakes (Hand-split red cedar shakes)\n(0010) 1/2 inch thick by 24 inches long 10-inch exposure on roof\n(0020) Pneumatic nailed\n(0030) 3/4 inch thick by 24 inches long, 10-inch exposure on roof\n(0040) Pneumatic nailed\n(0050) 1/2 to 3/4 inch thick by 24 inches long, 10 inch exposure on walls\n(0060) Pneumatic nailed\n(0070) Ridge shakes",Square\nSquare\nSquare\nSquare\nSquare\nSquare\nLF,4.2560\n3.2740\n7.7290\n3.6440\n5.3200\n4.0920\n0.0300
"Note:\nFor steep roofs, 7 in 12 pitch or greater, multiply by 1.50.\nA square = 100 SF of area.",,
Minimum suggested crew size: one builder and one laborer.,,
"07 32 13.10\nClay Tiles\n(0010) Minimum, i.e., Spanish tile, 171 pieces per square\n(0020) Average, i.e., Lanai tile or Classic tile, 158 pieces per square\n(0030) Maximum, i.e., Mission tile, 192 pieces per square\n(0040) 15 pound felt underlayment\n(0050) 30 pound felt underlayment\n(0060) Self-adhering polyethylene and rubberized asphalt underlayment",Square\nSquare\nSquare\nSquare\nSquare\nSquare,5.9100\n6.4480\n9.2530\n0.1660\n0.1840\n0.4840
"07 32 16.10\nConcrete Tiles\n(0010) Corrugated, 13 by 16 1/2 inches, 90 per square, 950 pounds per square\n(0020) Shakes, 13 by 16 1/2 inches, 90 per square, 950 pounds per square",Square\nSquare,7.8820\n7.0930
