figure,Figure 5-K-3
figureTitle,Partitions Production ............................................................................................................ 5-K-3
division,10
divisionName,Specialties
sourcePage,5-K-3
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"10 22 13.10\nPartitions, Woven Wire\nWall panels, 4 feet wide, for tool or stockroom enclosures, channel frame,\n1 1/2-inch-diamond mesh, 10-gauge wire\n(0010) 7 feet high\n(0020) 8 feet high\n(0030) 10 feet high\nFor 5 foot wide panels, multiply by 1.05.\n(0040) Ceiling panels, 10 feet long, 2 feet wide\n(0050) 4 feet wide\n(0060) Panel with service window and shelf\n(0070) Swinging doors, 3 feet wide, 7 feet high, 3-foot transom",Each\nEach\nEach\nEach\nEach\nEach\nEach,0.8510\n0.9260\n1.1820\n0.8510\n1.4190\n1.0640\n4.2560
"10 22 16.10\nSecurity Gates\n(0010) Door gate, scissors type or folding steel gate, single, standard size\n(0020) double gate, standard size\n(0030) Window gates, 2 to 4 feet wide, 31 inches high",Opening\nOpening\nOpening,5.3200\n8.5120\n5.6750
"10 22 23.13\nWall Screens\nDivider panels, free standing, fiber core, fabric face straight, various types\n(0010) 3 feet long, 4 feet high\n(0020) feet high\n(0030) feet high\n(0040) 6 feet long, 5 feet high",LF\nLF\nLF\nLF,0.2130\n0.2370\n0.2830\n0.1320
Minimum suggested crew size: one skilled laborer and one unskilled laborer.,,
"Notes:\n1. The above options provide only a small sample of the myriad of possibilities. They provide a cross\nsection of average labor times required for demolition.\n2. Installation of partitions includes unloading, storing at site, handling into place, and installing\nfastening devices, including drilling, plugging, anchoring, and leveling as needed.",,
