figure,Figure 5-H-1
figureTitle,Selective Doors and Windows Demolition Production ....................................................... 5-H-1
division,08
divisionName,Openings
sourcePage,5-H-1
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"08 05 05.10\nSelective Demolition Doors\n(0010) Doors, exterior, 1 3/4 inches thick, single, 3 feet by 7 feet high\n(0020) Doors, exterior, 1 3/4 inches thick, double, 6 feet by 7 feet high\n(0030) Frames, including trim, metal\n(0040) Frames, including trim, wood\n(0050) Overhead, commercial, 12 feet by 12 feet high\n(0060) Roll-up grille",Each\nEach\nEach\nEach\nEach\nEach,0.6650\n0.8870\n1.3300\n0.6650\n5.3200\n4.2560
"08 05 05.20\nSelective Demolition Windows\nVarious materiels, including trim, e.g., aluminum, steel, wood, etc.\n(0010) Minimum, to 12 SF\n(0020) Average, to 25 SF\n(0030) Maximum, to 50 SF\n(0040) Glass, minimum\n(0050) Glass, maximum\n(0060) Remove bay/bow window\n(0070) Remove skylight, plastic domes",Each\nEach\nEach\nSF\nSF\nEach\nSF,0.6650\n0.9670\n2.1280\n0.0530\n0.0700\n3.5470\n0.1080
Minimum suggested crew size: one builder and one laborer.,,
Note: The above options provide only a small sample of the myriad of possibilities. They provide a cross\nsection of average labor times required for demolition.,,
