figure,Figure 5-H-3
figureTitle,Special Function Doors Production ..................................................................................... 5-H-3
division,08
divisionName,Openings
sourcePage,5-H-3
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"08 34 16.10\nAircraft Hanger Doors\nBi-fold, overhead, 20 pounds per SF wind load,\nincludes electronic operation\n(0010) 12 feet high by 40 feet wide\n(0020) 16 feet high by 60 feet wide\n(0030) 20 feet high by 80 feet wide\n08 34 59.10\nSecure Storage Doors and Frames\n(0010) Various sizes and weights, average\n08 34 63.13\nSteel Detention Doors and Frames\n(0010) 3 feet by 7 feet, complete with hardware, single plate and\ndouble plate",SF\nSF\nSF\nOpening,0.0890\n0.0930\n0.0970\n18.6200\n10.6400
,Each,
"08 36 13.10\nOverhead Commercial Doors\nAverage, stock, sectional, wood, fiberglass, or aluminum, per size\n(0010) 8 feet by 8 feet high\n(0020) 10 feet by 10 feet high\n(0030) 12 feet by 12 feet high\n(0040) 20 feet by 14 feet high",Each\nEach\nEach\nEach,10.6400\n11.8220\n14.1870\n30.4000
"08 36 13.20\nResidential Garage Doors\nAverage, overhead, sectional, including hardware, various types of\ndoors\n(0010) Average",Each,3.5470
Minimum suggested crew size: one builder and one laborer.,,
Note: The above options provide only a small sample of the myriad of possibilities. They provide a cross\nsection of average labor times required for door and frame installation.,,
