figure,Figure 5-K-6
figureTitle,Storage Assemblies Production ........................................................................................... 5-K-5
division,10
divisionName,Specialties
sourcePage,5-K-6
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"10 51 13.10\nLockers, steel\n(0010) Single tier box locker, 12 by 15 by 72 inches and two person, 18 by 15 by\n72 inches\n(0020) Double tier box locker, 12 by 15 by 36 inches\n(0030) Five-tier box lockers, minimum\n(0040) maximum\n(0050) Wire meshed wardrobe, floor mounted, open front varsity type\n(0060) Rack with 24 wire mesh baskets",Each\nEach\nOpening\nOpening\nEach\nSE,1.3300\n0.5070\n0.3550\n0.4430\n1.4190\n7.0930
"10 56 13.10\nShelving\n(0010) Metal, industrial, cross-braced, 3 feet wide by 12 inches deep\n(0020) 3 feet wide 24 inches deep\n(0030) 4 feet wide 12 inches deep\n(0040) 4 feet wide 24 inches deep\n(0050) Pallet racks, steel frame 5,000 pound capacity, 8 feet long by 36 inches\ndeep\n(0060) 42 or 48 inches deep",SF of shelf\nSF of shelf\nSF of shelf\nSF of shelf\nSF of shelf\nSF of shelf,0.0610\n0.0320\n0.0570\n0.0280\n0.0480\n0.0410
"10 56 13.20\nParts Bins\nMetal 6 feet 3 inches high, 3 feet wide\n(0010) twelve bins, 18 inches wide by 12 inches high by 12 inches deep,\nstandard\n(0020) and other various sizes, maximum",Each\nEach,2.1280\n2.6600
Minimum suggested crew size: one skilled laborer and one unskilled laborer.,,
"Notes:\n1. The above options provide only a small sample of the myriad of possibilities. They provide a cross\nsection of average labor times required for demolition.\n2. Installation of storage items includes unloading, storing at site, handling into place, installing fastening\ndevices, including drilling, plugging, anchoring, and leveling as needed.",,
