figure,Figure 5-K-1
figureTitle,Visual Display Surfaces Production..................................................................................... 5-K-2
division,10
divisionName,Specialties
sourcePage,5-K-1
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"10 11 13.13\nFixed Chalkboards\nWall hung, aluminum or wood frame, by size\n(0010) 3 by 4 feet\n(0020) 4 by 12 feet",Each\nEach,1.3300\n1.6370
"10 11 23.10\nFixed Tackboards\n(0010) Cork sheets or fabric faced\n(0020) Prefabricated, case with single glass door, 3 by 3 feet\n(0030) Horizontal sliding units, 4 by 12 feet",SF\nEach\nEach,0.0730\n1.7330\n4.2560
"10 13 10.10\nDirectory Boards\n(0010) Plastic, glass covered, 30 by 20 inches\n(0020) Outdoor, weatherproofed, plastic, 36 by 36 inches",Each\nEach,7.0920\n14.1870
Minimum suggested crew size: one skilled laborer and one unskilled laborer.,,
"Note: Installation of specialties includes unloading, storing at site, handling into place, and installing\nfastening devices, including drilling, plugging, anchoring, and leveling as needed.",,
"10 21 13.13\nMetal Toilet Compartments\n(0010) Cubicles, ceiling hung, includes handicap units\n(0020) Cubicles, floor and ceiling anchored, includes handicap units\n(0030) Screens, entrance, floor mounted, 58 inches high, 48 inches wide\n(0040) Urinal screen, 18 inches wide",Each\nEach\nEach\nEach,5.3200\n4.2560\n1.4200\n3.4610
"10 21 16.10\nPartitions, Shower\n(0010) Cabinet, floor mounted, plumbing not included, 1-inch-thick walls, no\ndoor\n(0020) with door",Each\nEach,4.2560\n4.7300
Minimum suggested crew size: one skilled laborer and one unskilled laborer.,,
"Note: Installation of specialties includes unloading, storing at site, handling into place, and installing\nfastening devices, including drilling, plugging, anchoring, and leveling as needed.",,
