figure,Figure 5-K-7
figureTitle,Flagpole Production ............................................................................................................. 5-K-6
division,10
divisionName,Specialties
sourcePage,5-K-7
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"10 75 23.10\nFlagpoles, Wall Mounted\nStructure-mounted fiberglass or aluminum, vertical wall set,\n(0010) 19 feet 8 inches long, minimum\n(0020) 29 feet 6 inches long, maximum",Each\nEach,14.1870\n21.2800
Minimum suggested crew size: one builder and one laborer.,,
"Note: Installation of specialties includes unloading, storing at site, handling into place, and installing\nfastening devices, including drilling, plugging, anchoring, and leveling as needed.",,
"11 30 13.23\nResidential Laundry Appliances\n(0010) Washers residential, 4-cycle average\n(0020) Dryers, gas fired, residential, 16 pound capacity, average\n(0030) Electric, front loading\n(0040) Vent kits for dryers",Each\nEach\nEach\nEach,3.5470\n3.5470\n7.0930\n1.1820
Minimum suggested crew size: one utilitiesman and one laborer.,,
"Note: Installation of specialties includes unloading, storing at site, handling into place, and installing\nfastening devices, including drilling, plugging, anchoring, and leveling as needed.",,
