figure,Figure 5-K-5
figureTitle,Portable Fire Extinguishers .................................................................................................. 5-K-4
division,10
divisionName,Specialties
sourcePage,5-K-5
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"10 28 13.13\nCommercial Toilet Accessories\n(0010) Dispenser unit, towel dispenser and waste receptacle\n(0020) Grab bar, straight, various sizes\n(0030) Hand dryer, surface mounted, electric, 115 volt, 20 amp\n(0040) Mirror, with 5-inch shelf, 18 by 24 inches\n(0050) Soap dispenser, surface mounted\n(0060) Towel dispenser, surface mounted",Each\nEach\nEach\nEach\nEach\nEach,1.1820\n0.4430\n2.6600\n0.5320\n0.5320\n0.6650
Minimum suggested crew size: one skilled laborer.,,
"Note: Installation of toilet accessories includes unloading, storing at site, handling into place, and installing\nfastening devices, including drilling, plugging, anchoring, and leveling as needed.",,
"10 44 16.13\nPortable Fire Extinguishers\n(9400) Portable fire extinguisher, surface mount all types and sizes, nailable\n(9420) Portable fire extinguisher, surface mount all types and sizes, on masonry",Each\nEach,0.2627\n0.5330
Minimum suggested crew size: one builder.,,
