figure,Figure 5-F-8
figureTitle,Wood Framing Production .................................................................................................... 5-F-5
division,06
divisionName,"Wood, Plastics, and Composites"
sourcePage,5-F-8

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
06 10 53.00 Rough Carpentry\n(0010) Miscellaneous Rough Carpentry,LF,0.053
"Single bottom and double top plate,\n(0010) 2- by 4-inch studs, 8 feet high studs 16 inches on center\n(0020) Pneumatic nailed\n(0030) studs 24 inches on center\n(0040) Pneumatic nailed\n(0050) 2- by 4-inch studs, 12 feet high studs 16 inches on center\n(0060) Pneumatic nailed\n(0070) studs 24 inches on center\n(0080) Pneumatic nailed\n(0090) 2- by 6-inch studs, 8 feet high, studs 16 inches on center\n(0100) Pneumatic nailed\n(0110) studs 24 inches on center\n(0120) Pneumatic nailed",LF\nLF\nLF\nLF\nLF\nLF\nLF\nLF\nLF\nLF\nLF\nLF,0.2130\n0.1770\n0.1700\n0.1420\n0.2660\n0.2220\n0.2130\n0.1770\n0.2370\n0.2000\n0.1850\n0.1540
"06 11 10.30\nRoof Framing\n(0009) Fascia boards, 2 by 4 inches or 2 by 6 inches\n(0010) 2 by 8 inches or 2 by 10 inches\n(0020) Rafters, to 4 in 12 pitch, 2 by 6 inches\n(0030) 2 by 8 inches\n(0040) Hip and valley rafters, 2 by 6 inches\n(0050) 2 by 8 inches\n(0060) Hip and valley jacks, 2 by 6 inches\n(0070) 2 by 8 inches\n(0080) Rafter tie\nRidge board,\n(0090) 1 by 6 inches\n(0100) 1 by 10 inches\n(0110) 2 by 6 inches\n(0120) 2 by 8 inches\n(0130) 2 by 10 inches\nFor slopes steeper than 4 in 12, multiply by 1.30.\nFor dormers or complex roofs, multiply by 1.50.",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.0700\n0.0700\n0.0210\n0.0160\n0.0270\n0.0230\n0.0360\n0.0330\n0.0780\n0.0700\n0.0510\n0.0420\n0.0360\n0.0330
06 11 10.32\nSill and Ledger Framing,,
"(0010) Sills, 2 by 4 inches\n(0020) 2 by 6 inches\n(0030) 2 by 8 inches\n(0040) Sills, treated, 2 by 4 inches\n(0050) 2 by 6 inches\n(0060) 2 by 8 inches or 4 by 4 inches\n(0070) Ledgers, nailed, 2 by 4 inches\n(0080) 2 by 6 inches\n(0090) Ledgers, bolted, not including bolts, 3 by 8 inches\n(0100) 3 by 12 inches",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.0530\n0.0380\n0.0330\n0.0580\n0.0430\n0.0360\n0.0430\n0.0360\n0.0330\n0.0310
"06 11 10.34\nSleepers\n(0010) On concrete, treated, 1 by 2 inches\n(0020) 1 by 3 inches\n(0030) 2 by 4 inches\n(0040) 2 by 6 inches",BF\nBF\nBF\nBF,0.0550\n0.0430\n0.0210\n0.0160
"06 11 10.36\nSoffit and Canopy Framing\n(0010) Soffit or canopy framing, 1 by 4 inches\n(0020) 1 by 8 inches\n(0030) 2 by 4 inches\n(0040) 2 by 8 inches\n(0050) 3 by 4 inches\n(0060) 3 by 8 inches",BF\nBF\nBF\nBF\nBF\nBF,0.0700\n0.0430\n0.0520\n0.0330\n0.0430\n0.0360
06 11 10.40\nWall Framing,,
"(0010) Headers over openings, 2 by 6 inches\n(0020) Pneumatic nailed\n(0030) 2 by 8 inches\n(0040) Pneumatic nailed\n(0050) 2 by 10 inches\n(0060) Pneumatic nailed\n(0070) Plates, untreated, 2 by 4 inches\n(0080) Pneumatic nailed\n(0090) 2 by 6 inches\n(0100) Pneumatic nailed\n(0102) 2 by 8 inches\n(0103) Pneumatic nailed\n(0110) Studs, 8-foot-high wall, untreated, 2 by 4 inches\n(0120) Pneumatic nailed\n(0130) 2 by 6 inches\n(0140) Pneumatic nailed\n(0142) Studs, 10-foot-high wall, untreated, 2 by 4 inches\n(0144) Pneumatic nailed\n(0146) Studs, 10-foot-high wall, untreated, 2 by 6 inches\n(0148) Pneumatic nailed\n(0150) Studs, 12-foot-high wall, untreated, 2 by 4 inches\n(0160) Pneumatic nailed\n(0170) Studs, 12-foot-high wall, untreated, 2 by 6 inches\n(0180) Pneumatic nailed\n(0190) Studs, 6-foot-high wall, untreated, 2 by 4 inches\n(0200) Pneumatic nailed\n(0210) Studs, 6-foot-high wall, untreated, 2 by 6 inches\n(0220) Pneumatic nailed",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.0580\n0.0490\n0.0460\n0.0400\n0.0400\n0.0330\n0.0400\n0.0310\n0.0270\n0.0240\n0.0270\n0.0240\n0.0240\n0.0190\n0.0210\n0.0170\n0.0224\n0.0185\n0.0205\n0.0166\n0.0219\n0.0180\n0.0200\n0.0162\n0.0276\n0.0228\n0.0252\n0.0204
"Notes: For stub wall, 2 feet high, multiply by 1.40.\nFor second story and above, multiply by 1.05.\nFor dormers and gables, multiply by 1.15.",,
"06 11 10.42\nFurring\nWood strips, on walls, 1 by 2 inches or 1 by 3 inches\n(0010) on wood or masonry\n(0020) on wood, pneumatic nailed\n(0030) on concrete\nOn ceilings\n(0040) on wood or masonry\n(0050) on wood, pneumatic nailed\n(0060) on concrete",LF\nLF\nLF\nLF\nLF\nLF,0.0210\n0.0150\n0.0430\n0.0330\n0.0240\n0.0500
"06 25 16.10\nPaneling, Plywood\nPlywood, prefinished, 1/4 inch thick, 4- by 8-foot sheets\n(0010) average\n(0020) maximum\nPlywood, prefinished, 3/4 inch thick, 4- by 8-foot sheets\n(0030) minimum\n(0040) maximum",SF\nSF\nSF\nSF,0.050\n0.061\n0.066\n0.094
Minimum suggested crew size: two builders for each construction work element.,,
"06 13 23.10\nHeavy Framing\n(0010) Beams, single 6 by 10 inches\n(0020) single 8 by 16 inches\n(0030) Columns, structural grade, 4 by 4 inches\n(0040) 6 by 6 inches\n(0450) 8 by 8 inches\n(0050) Floor planks, 2 by 6 inches\n(0060) 2 by 10 inches\n(0070) 3 by 6 inches\n(0080) 3 by 10 inches\n(0090) Girders, structural grade, 12 by 12 inches\n(0100) 10 by 16 inches\n(0110) Roof purlins, 4 inches thick, structural grade\n(0120) Roof trusses",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.0200\n0.0170\n0.0360\n0.0330\n0.0167\n0.0200\n0.0190\n0.0200\n0.0190\n0.0270\n0.0210\n0.0200\n0.0480
Minimum suggested crew size: two builders.,,
Notes:\n1. Scaffolding is not included.\n2. Clean-up is included.,,
