figure,Figure 5-Q-5
figureTitle,Electrical Finish and Trim Production ................................................................................. 5-Q-7
division,26
divisionName,Electrical
sourcePage,5-Q-5
sourcePdfPage,15

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
26 05 90.00\nLow Voltage Applications (Troop Housing),,
Install Receptacles and Plates\n(0010) Duplex convenience outlets\n(0020) Range and dryer receptacles,Each\nEach,0.4000\n1.6000
Install Standard Grade Toggle Switches and Plates\n(0030) Single pole\n(0040) Three- or four-way,Each\nEach,0.3200\n0.4000
Install Incandescent Lighting Fixtures up to 150 Watts—Medium Base\n(0050) Surface-mounted\n(0060) Flush-mounted\n(0070) Porcelain lamp holder\n(0080) Install fluorescent lighting fixtures\n(0090) Install fluorescent tubes and diffusers,Each\nEach\nEach\nEach\nEach,1.6000\n1.6000\n0.3200\n2.4000\n1.6000
"Connect Small Appliances\n(0100) Water heater (80 gallon capacity)\n(0110) Space heater (2,000 watts)\n(0120) Air conditioning units (up to 18,000 BTU)\n(0130) Exhaust fans",Each\nEach\nEach\nEach,3.2000\n1.6000\n4.0000\n4.8000
"Testing\n(0140) Receptacles, switches, lighting fixtures\n(0150) Small appliances",Each\nEach,0.0800\n0.4000
Minimum suggested crew size: two electricians,,
"Install Tent Electrical\n(0600) Install tent light kit, ALASKA-MGPTS-TEMPER small\n(0610) Install tent light kit, ALASKA-MGPTS-TEMPER medium\n(0620) Install tent light kit, ALASKA-MGPTS-TEMPER large\n(0650) Install tent receptacle kit, ALASKA-MGPTS-TEMPER small\n(0660) Install tent receptacle kit, ALASKA-MGPTS-TEMPER medium\n(0670) Install tent receptacle kit (M46),ALASKA-MGPTS-TEMPER large\n(0700) Install tent light and receptacle kit (M46), ALASKA-MGPTS-TEMPER\nsmall\n(0710) Install tent light and receptacle kit (M46), ALASKA-MGPTS-TEMPER\nmedium\n(0720) Install tent light and receptacle kit (M46),ALASKA-MGPTS-TEMPER\nlarge",Each\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach,0.3330\n0.6670\n1.0000\n0.3330\n0.6670\n1.000\n0.6670\n1.3330\n2.0000
Minimum suggested crew size: two laborers.,,
"Note: Two or four tube, surface-, stem-, or chain-mounted on wood or masonry. Commercial industrial,\nresidential: normal high output or power groove type.",,
