figure,Figure 5-P-3
figureTitle,Fabrication and Installation of Ductwork ............................................................................. 5-P-2
division,23
divisionName,"Heating, Ventilating, and Air Conditioning"
sourcePage,5-P-3
sourcePdfPage,14

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
23 31 13.00\nMetal Ducts,,
Fabricate Sheet Metal Duct\n(0010) 20- to 94-inch perimeter\n(0020) 96- to 126-inch perimeter\n(0030) 128- to 190-inch perimeter\n(0040) 192- to 240-inch perimeter\n(0050) 242- to 360-inch perimeter\nMinimum suggested crew size two steelworkers,LF\nLF\nLF\nLF\nLF,0.340\n0.650\n0.980\n1.220\n1.490
Install Sheet Metal Duct (rectangular)\n(0060) 20- to 94-inch perimeter\n(0070) 96- to 126-inch perimeter\n(0080) 128- to 190-inch perimeter\n(0090) 192- to 240-inch perimeter\n(0100) 242- to 360-inch perimeter\nMinimum suggested crew size three steelworkers,LF\nLF\nLF\nLF\nLF,0.420\n0.700\n1.440\n2.000\n2.640
Install Sheet Metal Duct (round)\n(0110) 20- to 94-inch perimeter\n(0120) 94- to 126-inch perimeter\n(0130) 127- to 190-inch perimeter\n(0140) 191- to 240-inch perimeter\n(0150) 241- to 360-inch perimeter\nMinimum suggested crew size two steelworkers,LF\nLF\nLF\nLF\nLF,0.525\n0.875\n1.800\n2.500\n3.300
(0160) Insulate Sheet Metal Duct,LF,0.060
23 33 00.00\nAir Duct Accessories,,
"Install Fiber Duct for Slab Heating or Cooling System\n(0010) 6-inch inside diameter\n(0020) 8-inch inside diameter\n(0030) 10-inch inside diameter\n(0040) 12-inch inside diameter\n(0050)16-inch inside diameter\n(0060) 20-inch inside diameter\n(0070) 24-inch inside diameter\n(0080) Fabrication\nInstallation includes hangers, but does not include grills and registers.\nMinimum suggested crew size two steelworkers",LF\nLF\nLF\nLF\nLF\nLF\nLF\nLF,0.020\n0.022\n0.022\n0.025\n0.032\n0.042\n0.060\n0.280
Grills and Registers (Plaster Ground)\n(0090) 4 by 8 inches\n(0100) 6 by 12 inches\n(0110) 16 by 16 inches\n(0120) 20 by 36 inches\nMinimum suggested crew size two steelworkers,Each\nEach\nEach\nEach,0.030\n0.090\n0.100\n0.130
Notes:\n1. Fabrication is to be performed in the sheet metal shop.\n2. Time for grills and registers will vary according to type of materiels used in ceilings and walls.\n3. Installation of fiberglass duct will vary with manufacturer.,,
