figure,Figure 5-R-25
figureTitle,Pile-Driving Production ..................................................................................................... 5-R-15
division,31
divisionName,Earthwork
sourcePage,5-R-25
sourcePdfPage,15

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
31 62 00\nDriven Piles,,
(0010) 25-foot wood piling\n(0020) 50-foot wood piling\n(0030) 75-foot wood piling\n(0040) 25-foot steel piling\n(0050) 50-foot steel piling\n(0060) 75-foot steel piling\n(0070) 40-foot precast concrete piling\n(0080) 60-foot precast concrete piling\n(0090) 80-foot precast concrete piling\n(0100) Steel sheet piling\n(0110) Assemble and rig leads and hammer\n(0120) Dismantle leads and hammer,Each\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nSF\nEach\nEach,3.000\n6.500\n9.600\n4.000\n7.200\n12.000\n13.200\n18.000\n24.000\n0.102\n48.000\n32.000
Minimum suggested crew size: three crane crew operators and five pile drivers.,,
"Notes:\n1. Man-hour figures are preliminary estimate only. The many variables of this work require onsite\ndeterminations for accurate estimates.\n2. Factors of importance are: design, soil, equipment and method used, tides, access to site, currents,\nmateriels storage, etc.\n3. Work included is preparation of pile, placing in leads, driving, and cutoff.\n4. For concrete-filled, fluted, hollow steel piling and pipe piling for spudding pontoon, small craft, finger\npiers, use the steel bearing pile figures.",,
