figure,Figure 5-T-15
figureTitle,Electric and Telephone Underground Construction .............................................................. 5-T-8
division,33
divisionName,Utilities
sourcePage,5-T-15
sourcePdfPage,16

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
33 71 19.17\nElectrical and Telephone Underground,,
"Hand holes, precast concrete, with concrete cover\n(0010) 2 feet by 2 feet by 3 feet deep\n(0020) 4 feet by 4 feet by 4 feet deep",Each\nEach,11.080\n19.000
"Manholes, precast concrete, with iron racks and pulling irons, and cast iron cover\n(0050) 4 feet by 6 feet by 7 feet deep\n(0060) 6 feet by 8 feet by 7 feet deep",Each\nEach,37.240\n39.200
"Underground duct, banks ready for concrete fill\n(0100) PVC, two each at 4-inch diameter\n(0110) PVC, four each at 4-inch diameter\n(0120) Rigid galvanized steel, two each at 4-inch diameter\n(0130) Rigid galvanized steel, four each at 4-inch diameter",LF\nLF\nLF\nLF,0.133\n0.266\n0.305\n0.626
Minimum suggested crew size: one electrician and one laborer.,,
"Note: Not including excavation, backfill and cast in place concrete. Refer to Division 03, concrete, and\nDivision 31, earthwork.",,
33 81 13.10\nRadio Antenna Tower,,
"Erect antenna tower\n(0010) Guyed, 50 feet high, 40 pound section, wind load 70 miles per hour\n(0020) Self-supporting, 60 feet high, wind load 70 miles per hour",Each\nEach,22\n40
Minimum suggested crew size: two steelworkers and one equipment operator.,,
