figure,Figure 5-E-15
figureTitle,Structural Metal Stud Framing Bridging............................................................................. 5-E-10
division,05
divisionName,Metals
sourcePage,5-E-15
sourcePdfPage,12

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
05 12 23.00\nStructural Steel For Buildings\n(0010) Beams\n(0020) Bracing and tiers\n(0030) Columns\n(0040) Girders\n(0050) Grating\n(0060) Light framing\n(0070) Purlins: girts and struts\n(0080) Trusses\n(0090) Steel wire rope,Ton\nTon\nTon\nTon\nSF\nTon\nTon\nTon\nLF,13.6\n17.9\n13.6\n9.0\n0.192\n23.8\n11.9\n17.0\n0.0030
"Notes:\n1. Erection of structural steel includes handling, erecting, temporary bolting, plumbing, leveling,\nhigh-strength bolting, and/or welding.\n2. Man-hour figures are based on using new construction materiels.\n3. For painting, refer to Division 09 97 13.23, Exterior Steel Coatings.",,
"05 41 13.10\nStructural Metal Stud Framing Bridging\n(0010) Solid between studs, 16 in OC, 16 GA 4 in wide\n(0110) Solid between studs, 16 in OC, 16 GA 6 in wide\n(0120) Solid between studs, 24 in OC, 16 GA 6 in wide",Each\nEach\nEach,0.0730\n0.0760\n0.0760
Legend: GA = gauge\nOC = on-center,,
