id,sourceTableFile,sourceRowNumberApprox,sectionCode,sectionTitle,itemCode,workElementDescription,unit,manHoursPerUnit
01-56-29.50-0030-exterior-plywood-two-uses-3-4-inch-sf,fileoutpart22.xlsx,24,01 56 29.50,Temporary Protective Walkways,0030,"exterior plywood, two uses, 3/4 inch",SF,0.017
01-71-23-0010-level-area-sy,fileoutpart24.xlsx,5,01 71 23,"Survey, conventional, topographical",0010,(level area),SY,0.003
01-71-23-0020-hilly-area-sy,fileoutpart24.xlsx,6,01 71 23,"Survey, conventional, topographical",0020,(hilly area),SY,0.012
01-71-23-0030-minimum-acre,fileoutpart24.xlsx,7,01 71 23,"Survey, conventional, topographical",0030,minimum,Acre,10.9
01-71-23-0040-maximum-acre,fileoutpart24.xlsx,8,01 71 23,"Survey, conventional, topographical",0040,maximum,Acre,80
01-71-23-0050-minimum-acre,fileoutpart24.xlsx,10,01 71 23,"Lot location and lines, for large quantities,",0050,minimum,Acre,18
01-71-23-0060-average-acre,fileoutpart24.xlsx,11,01 71 23,"Lot location and lines, for large quantities,",0060,average,Acre,28.8
01-71-23-0070-maximum-for-small-quantities-acre,fileoutpart24.xlsx,12,01 71 23,"Lot location and lines, for large quantities,",0070,"maximum, for small quantities",Acre,48
01-71-23-0080-maximum-for-small-quantities-each,fileoutpart24.xlsx,13,01 71 23,"Lot location and lines, for large quantities,",0080,"maximum, for small quantities",Each,3.75
01-71-23-0090-property-lines-perimeter-cleared-land-lf,fileoutpart24.xlsx,14,01 71 23,"Lot location and lines, for large quantities,",0090,"Property lines, perimeter, cleared land",LF,0.036
01-71-23-0100-stake-out-clearing-limits-roads-runways-lf,fileoutpart24.xlsx,15,01 71 23,"Lot location and lines, for large quantities,",0100,Stake out clearing limits (roads/runways),LF,0.005
01-71-23-0110-layout-baseline-with-offset-hubs-at-100-foot-intervals-0110-level-area-0120-hilly-area-feet-feet,fileoutpart24.xlsx,16,01 71 23,"Lot location and lines, for large quantities,",0110,Layout baseline with offset hubs at 100-foot intervals (0110) (level area) (0120) (hilly area),Feet Feet,0.005
01-71-23-0130-set-blue-top-at-25-foot-interval-feet,fileoutpart24.xlsx,17,01 71 23,"Lot location and lines, for large quantities,",0130,Set blue top at 25-foot interval,Feet,0.009
01-71-23-0140-layout-bounds-building-each,fileoutpart24.xlsx,18,01 71 23,"Lot location and lines, for large quantities,",0140,Layout bounds (building),Each,4.5
01-71-23-0150-layout-and-grade-pipe-culvert-each,fileoutpart24.xlsx,19,01 71 23,"Lot location and lines, for large quantities,",0150,Layout and grade pipe/culvert,Each,4.5
02-41-13.17-0010-pavement-removal-bituminous-roads-4-6-sy,fileoutpart26.xlsx,3,02 41 13.17,"Demolish, Remove Pavement and Curb",0010,"Pavement removal, bituminous roads, 4-6",SY,0.126
02-41-13.17-0020-concrete-to-6-inches-thick-hydraulic-hammer-mesh-reinforced-sy,fileoutpart26.xlsx,4,02 41 13.17,"Demolish, Remove Pavement and Curb",0020,"Concrete to 6 inches thick, hydraulic hammer, mesh reinforced",SY,0.209
02-41-13.17-0030-concrete-to-6-inches-thick-rod-reinforced-sy,fileoutpart26.xlsx,5,02 41 13.17,"Demolish, Remove Pavement and Curb",0030,"Concrete to 6 inches thick, rod reinforced",SY,0.266
02-41-13.17-0040-concrete-7-to-24-inches-thick-rod-reinforced-cyd,fileoutpart26.xlsx,6,02 41 13.17,"Demolish, Remove Pavement and Curb",0040,"Concrete, 7 to 24 inches thick, rod reinforced",CYD,2.217
02-41-13.17-0050-curbs-concrete-plain-lf,fileoutpart26.xlsx,7,02 41 13.17,"Demolish, Remove Pavement and Curb",0050,"Curbs, concrete, plain",LF,0.089
02-41-13.17-0060-curbs-concrete-reinforced-lf,fileoutpart26.xlsx,8,02 41 13.17,"Demolish, Remove Pavement and Curb",0060,"Curbs, concrete, reinforced",LF,0.116
02-41-13.17-0070-curbs-bituminous-lf,fileoutpart26.xlsx,9,02 41 13.17,"Demolish, Remove Pavement and Curb",0070,"Curbs, bituminous",LF,0.06
02-41-13.33-0010-guiderail-corrugated-steel-remove-only-lf,fileoutpart26.xlsx,11,02 41 13.33,Minor Site Demolition,0010,"Guiderail, corrugated steel, remove only",LF,0.32
02-41-13.33-0020-guiderail-corrugated-steel-remove-and-reset-lf,fileoutpart26.xlsx,12,02 41 13.33,Minor Site Demolition,0020,"Guiderail, corrugated steel, remove and reset",LF,0.8
02-41-13.33-0030-median-barrier-precast-concrete-remove-and-store-lf,fileoutpart26.xlsx,13,02 41 13.33,Minor Site Demolition,0030,"Median barrier, precast concrete, remove and store",LF,0.15
02-41-13.33-0040-median-barrier-precast-concrete-remove-and-reset-lf,fileoutpart26.xlsx,14,02 41 13.33,Minor Site Demolition,0040,"Median barrier, precast concrete, remove and reset",LF,0.164
02-41-13.33-0050-railroad-track-removal-ties-and-track-lf,fileoutpart26.xlsx,15,02 41 13.33,Minor Site Demolition,0050,"Railroad track removal, ties and track",LF,0.23
02-41-13.33-0060-ballast-cyd,fileoutpart26.xlsx,16,02 41 13.33,Minor Site Demolition,0060,Ballast,CYD,0.128
02-41-13.33-0070-remove-and-re-install-ties-and-track-new-bolts-and-spikes-lf,fileoutpart26.xlsx,17,02 41 13.33,Minor Site Demolition,0070,"remove and re-install, ties and track, new bolts and spikes",LF,1.277
02-41-13.33-0080-sidewalk-removal-bituminous-2-1-2-inches-thick-sy,fileoutpart26.xlsx,18,02 41 13.33,Minor Site Demolition,0080,"Sidewalk removal, bituminous, 2 1/2 inches thick",SY,0.098
02-41-13.33-0090-concrete-plain-4-inches-thick-sy,fileoutpart26.xlsx,19,02 41 13.33,Minor Site Demolition,0090,"concrete, plain, 4 inches thick",SY,0.2
02-41-13.33-0100-meshed-reinforced-sy,fileoutpart26.xlsx,20,02 41 13.33,Minor Site Demolition,0100,meshed reinforced,SY,0.213
