id,division,divisionName,sectionCode,sectionTitle,itemCode,workElementDescription,unitOriginal,unit,manHoursPerUnit,sourcePageNumberApprox,sourceTableFile,reviewNotes,replacesReviewRows
22-11-19.64-0010-yard-hydrant-all-types-ea,22,Plumbing,22 11 19.64,Water Piping Specialties,0010,"Yard hydrant, all types",Each,EA,1.143,169,fileoutpart326.xlsx,,22-11-19.64-0010-water-piping-specialties-0010-yard-hydrant-all-types-each
22-13-29.14-0160-sewage-ejector-pump-75-gallon-12-gallons-per-minute-ea,22,Plumbing,22 13 29.14,Sanitary Sewerage Pumps,0160,"Sewage ejector pump, 75 gallon, 12 gallons per minute",Each,EA,6.67,169,fileoutpart326.xlsx,,22-13-29.14-0160-sanitary-sewerage-pumps-0160-sewage-ejector-pump-75-gallon-12-gallons-per-minute-each
22-14-29.00-0010-cellar-drainer-pedestal-1-3-horsepower-standard-ea,22,Plumbing,22 14 29.00,Sump Pumps,0010,"Cellar drainer, pedestal, 1/3 horsepower, standard",Each,EA,3.547,169,fileoutpart326.xlsx,,22-14-29.00-0010-sump-pumps-0010-cellar-drainer-pedestal-1-3-horsepower-standard-each
22-13-16.20-0110-bends-2-inch-pipe-diameter-ea,22,Plumbing,22 13 16.20,Cast Iron Pipe,0110,"Bends, 2 inch pipe diameter",Each,EA,0.42,169,fileoutpart328.xlsx,,22-13-16.20-bends-each|22-13-16.20-bends-each
22-13-16.20-0120-bends-3-inch-pipe-diameter-ea,22,Plumbing,22 13 16.20,Cast Iron Pipe,0120,"Bends, 3 inch pipe diameter",Each,EA,0.49,169,fileoutpart328.xlsx,,22-13-16.20-bends-each|22-13-16.20-bends-each
22-13-16.20-0130-bends-4-inch-pipe-diameter-ea,22,Plumbing,22 13 16.20,Cast Iron Pipe,0130,"Bends, 4 inch pipe diameter",Each,EA,0.63,169,fileoutpart328.xlsx,,22-13-16.20-bends-each|22-13-16.20-bends-each
22-13-16.20-0140-bends-6-inch-pipe-diameter-ea,22,Plumbing,22 13 16.20,Cast Iron Pipe,0140,"Bends, 6 inch pipe diameter",Each,EA,0.95,169,fileoutpart328.xlsx,,22-13-16.20-bends-each|22-13-16.20-bends-each
22-13-16.20-0150-bends-8-inch-pipe-diameter-ea,22,Plumbing,22 13 16.20,Cast Iron Pipe,0150,"Bends, 8 inch pipe diameter",Each,EA,1.19,169,fileoutpart328.xlsx,,22-13-16.20-bends-each|22-13-16.20-bends-each
22-13-16.20-0160-bends-12-inch-pipe-diameter-ea,22,Plumbing,22 13 16.20,Cast Iron Pipe,0160,"Bends, 12 inch pipe diameter",Each,EA,1.75,169,fileoutpart328.xlsx,,22-13-16.20-bends-each|22-13-16.20-bends-each
22-41-13.40-0010-tank-type-wall-hung-rough-in-ea,22,Plumbing,22 41 13.40,Water Closets,0010,"Tank type, wall hung - rough-in",Each,EA,7.795,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-13.40-tank-type-wall-hung-each
22-41-13.40-0020-tank-type-wall-hung-finish-ea,22,Plumbing,22 41 13.40,Water Closets,0020,"Tank type, wall hung - finish",Each,EA,4.015,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-13.40-tank-type-wall-hung-each
22-41-13.40-0030-floor-mounted-one-piece-rough-in-ea,22,Plumbing,22 41 13.40,Water Closets,0030,"Floor mounted, one piece - rough-in",Each,EA,6.977,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-13.40-floor-mounted-one-piece-each
22-41-13.40-0040-floor-mounted-one-piece-finish-ea,22,Plumbing,22 41 13.40,Water Closets,0040,"Floor mounted, one piece - finish",Each,EA,4.015,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-13.40-floor-mounted-one-piece-each
22-41-13.40-0050-bowl-only-wall-hung-rough-in-ea,22,Plumbing,22 41 13.40,Water Closets,0050,"Bowl only, wall hung - rough-in",Each,EA,8.312,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-13.40-each-8-3120
22-41-13.40-0060-bowl-only-wall-hung-finish-ea,22,Plumbing,22 41 13.40,Water Closets,0060,"Bowl only, wall hung - finish",Each,EA,3.67,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-13.40-each-8-3120
22-41-16.10-0010-vanity-top-rough-in-ea,22,Plumbing,22 41 16.10,Lavatories,0010,Vanity top - rough-in,Each,EA,9.257,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-16.10-vanity-top-wall-hung-each
22-41-16.10-0020-vanity-top-finish-ea,22,Plumbing,22 41 16.10,Lavatories,0020,Vanity top - finish,Each,EA,3.325,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-16.10-vanity-top-wall-hung-each
22-41-16.10-0030-wall-hung-rough-in-ea,22,Plumbing,22 41 16.10,Lavatories,0030,Wall hung - rough-in,Each,EA,12.821,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-16.10-vanity-top-wall-hung-each
22-41-16.10-0040-wall-hung-finish-ea,22,Plumbing,22 41 16.10,Lavatories,0040,Wall hung - finish,Each,EA,2.66,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-16.10-vanity-top-wall-hung-each
22-41-16.30-0010-corrosion-resistant-rough-in-ea,22,Plumbing,22 41 16.30,Sinks,0010,Corrosion resistant - rough-in,Each,EA,10.534,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-16.30-corrosion-resistant-each
22-41-16.30-0020-corrosion-resistant-finish-ea,22,Plumbing,22 41 16.30,Sinks,0020,Corrosion resistant - finish,Each,EA,4.433,170,fileoutpart332.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-16.30-corrosion-resistant-each
22-41-19.10-0010-bath-tub-rough-in-ea,22,Plumbing,22 41 19.10,Bath Tubs,0010,Bath tub - rough-in,Each,EA,10.281,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-19.10-bath-tubs-each
22-41-19.10-0020-bath-tub-finish-ea,22,Plumbing,22 41 19.10,Bath Tubs,0020,Bath tub - finish,Each,EA,4.836,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-19.10-bath-tubs-each
22-41-23.20-0010-shower-rough-in-ea,22,Plumbing,22 41 23.20,Showers,0010,Shower - rough-in,Each,EA,10.374,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-23.20-showers-each
22-41-23.20-0020-shower-finish-ea,22,Plumbing,22 41 23.20,Showers,0020,Shower - finish,Each,EA,3.869,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-23.20-showers-each
22-41-36.10-0010-laundry-sink-rough-in-ea,22,Plumbing,22 41 36.10,Laundry Sinks,0010,Laundry sink - rough-in,Each,EA,9.948,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-36.10-laundry-sinks-each
22-41-36.10-0020-laundry-sink-finish-ea,22,Plumbing,22 41 36.10,Laundry Sinks,0020,Laundry sink - finish,Each,EA,3.547,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-41-36.10-laundry-sinks-each
22-47-13.10-0010-drinking-water-fountain-rough-in-ea,22,Plumbing,22 47 13.10,Drinking Water Fountains,0010,Drinking water fountain - rough-in,Each,EA,5.812,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-47-13.10-drinking-water-fountains-each
22-47-13.10-0020-drinking-water-fountain-finish-ea,22,Plumbing,22 47 13.10,Drinking Water Fountains,0020,Drinking water fountain - finish,Each,EA,3.325,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-47-13.10-drinking-water-fountains-each
22-47-16.10-0010-electric-water-cooler-rough-in-ea,22,Plumbing,22 47 16.10,Electric Water Coolers,0010,Electric water cooler - rough-in,Each,EA,4.815,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-47-16.10-electric-water-coolers-each
22-47-16.10-0020-electric-water-cooler-finish-ea,22,Plumbing,22 47 16.10,Electric Water Coolers,0020,Electric water cooler - finish,Each,EA,5.32,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-47-16.10-electric-water-coolers-each
22-42-13.30-0025-wall-hung-stall-type-rough-in-ea,22,Plumbing,22 42 13.30,"Urinals, Commercial",0025,"Wall hung, stall type - rough-in",Each,EA,10.693,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-42-13.30-urinals-commercial-wall-hung-stall-type-each-each
22-42-13.30-0026-wall-hung-stall-type-finish-ea,22,Plumbing,22 42 13.30,"Urinals, Commercial",0026,"Wall hung, stall type - finish",Each,EA,8.512,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-42-13.30-urinals-commercial-wall-hung-stall-type-each-each
22-42-16.40-0010-floor-type-rough-in-ea,22,Plumbing,22 42 16.40,Service Sinks,0010,Floor type - rough-in,Each,EA,12.981,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-42-16.40-service-sinks-floor-type-wall-hung-each-each
22-42-16.40-0020-floor-type-finish-ea,22,Plumbing,22 42 16.40,Service Sinks,0020,Floor type - finish,Each,EA,4.841,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-42-16.40-service-sinks-floor-type-wall-hung-each-each
22-42-16.40-0030-wall-hung-rough-in-ea,22,Plumbing,22 42 16.40,Service Sinks,0030,Wall hung - rough-in,Each,EA,16.372,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-42-16.40-service-sinks-floor-type-wall-hung-each-each
22-42-16.40-0040-wall-hung-finish-ea,22,Plumbing,22 42 16.40,Service Sinks,0040,Wall hung - finish,Each,EA,5.32,171,fileoutpart334.xlsx,PDF table separates Rough-in and Finish man-hours.,22-42-16.40-service-sinks-floor-type-wall-hung-each-each
23-05-23.30-2280-gate-valve-125-pound-nonrising-stem-flanged-4-inch-ea,23,HVAC,23 05 23.30,General duty valves for HVAC piping,2280,"Gate valve, 125 pound, nonrising stem flanged, 4 inch",Each,EA,5.33,173,fileoutpart336.xlsx,,23-05-23.30-2280-general-duty-valves-for-hvac-piping-2280-gate-valve-125-pound-nonrising-stem-flanged-4-inc-each
33-11-13.00-0010-install-tactical-water-distribution-system-10-miles-ea,33,Utilities,33 11 13.00,Water Supply Tactical Hoseline,0010,"Install tactical water distribution system, 10 miles",Each,EA,180.0,217,fileoutpart452.xlsx,,33-11-13.00-0010-water-supply-tactical-hoseline-0010-install-tactical-water-distribution-system-10-miles-each
33-11-13.05-0010-flush-chlorinate-and-test-distribution-mains-lf,33,Utilities,33 11 13.05,Water Supply Miscellaneous,0010,"Flush, chlorinate and test distribution mains",LF,LF,0.004,217,fileoutpart452.xlsx,,33-11-13.05-0010-water-supply-miscellaneous-0010-flush-chlorinate-and-test-distribution-mains-lf
33-11-13.06-0010-install-expeditionary-water-distribution-ea,33,Utilities,33 11 13.06,Tactical Water Distribution System,0010,Install expeditionary water distribution,Each,EA,1.5,217,fileoutpart452.xlsx,,33-11-13.06-0010-tactical-water-distribution-system-0010-install-expeditionary-water-distribution-each
33-11-13.25-0010-pressure-pipe-class-150-sdr-18-awwa-c900-4-inch-diameter-lf,33,Utilities,33 11 13.25,Water Supply PVC Pipe,0010,"Pressure pipe, Class 150, SDR 18, AWWA C900, 4 inch diameter",LF,LF,0.084,217,fileoutpart452.xlsx,,33-11-13.25-0010-water-supply-pvc-pipe-0010-pressure-pipe-class-150-sdr-18-awwa-c900-4-inch-diameter-0020-p-lf
33-11-13.25-0020-pressure-pipe-class-150-sdr-18-awwa-c900-6-inch-diameter-lf,33,Utilities,33 11 13.25,Water Supply PVC Pipe,0020,"Pressure pipe, Class 150, SDR 18, AWWA C900, 6 inch diameter",LF,LF,0.101,217,fileoutpart452.xlsx,,33-11-13.25-0010-water-supply-pvc-pipe-0010-pressure-pipe-class-150-sdr-18-awwa-c900-4-inch-diameter-0020-p-lf
33-52-00.00-0110-install-tactical-petroleum-terminal-tpt-fuel-unit-ea,33,Utilities,33 52 00.00,Bulk Fuel Receiving and Dispensing,0110,Install tactical petroleum terminal (TPT) fuel unit,Each,EA,1080.0,221,fileoutpart470.xlsx,"High rate verified in source PDF. Crew size: one equipment operator, 29 laborers.",33-52-00.00-0110-install-tactical-petroleum-terminal-tpt-fuel-unit-crew-size-one-equipment-operator-29-labo-each
